iter	Passed	Remaining
0	58	291985
1	117	292738
2	189	315303
3	242	303383
4	313	312771
5	365	304180
6	432	308733
7	482	301095
8	549	304453
9	600	299552
10	666	302349
11	721	300024
12	789	302979
13	840	299344
14	906	301095
15	954	297462
16	1022	299691
17	1077	298288
18	1144	300007
19	1194	297314
20	1261	299104
21	1312	296900
22	1389	300613
23	1440	298745
24	1505	299514
25	1558	298100
26	1647	303428
27	1739	308799
28	1810	310260
29	1861	308432
30	1927	308994
31	1976	306926
32	2041	307229
33	2092	305617
34	2158	306136
35	2209	304603
36	2272	304831
37	2339	305453
38	2430	309165
39	2481	307765
40	2548	308236
41	2598	306783
42	2667	307464
43	2715	305883
44	2790	307231
45	2845	306479
46	2911	306837
47	2964	305808
48	3082	311474
49	3134	310335
50	3201	310631
51	3252	309528
52	3316	309537
53	3368	308505
54	3433	308731
55	3482	307430
56	3546	307575
57	3596	306434
58	3663	306797
59	3715	305880
60	3780	306110
61	3829	304999
62	3897	305412
63	3945	304323
64	4011	304563
65	4059	303482
66	4124	303667
67	4176	302891
68	4242	303170
69	4292	302288
70	4361	302780
71	4412	302027
72	4486	302783
73	4537	302081
74	4763	312777
75	4836	313340
76	4911	314021
77	5044	318305
78	5156	321190
79	5209	320367
80	5303	322094
81	5354	321143
82	5427	321539
83	5620	328946
84	5929	342860
85	6036	344944
86	6108	344980
87	6164	344078
88	6233	343969
89	6325	345069
90	6560	353887
91	6745	359866
92	7210	380444
93	7273	379609
94	7481	386264
95	7672	391949
96	7781	393307
97	7857	393029
98	7951	393621
99	8020	393013
100	8100	392898
101	8209	394238
102	8631	410389
103	8698	409504
104	8884	414183
105	8957	413554
106	9049	413840
107	9118	413031
108	9198	412731
109	9257	411544
110	9341	411448
111	9397	410119
112	9468	409487
113	9521	408091
114	9604	407971
115	9657	406600
116	9728	406009
117	9818	406232
118	9963	408681
119	10027	407797
120	10118	408004
121	10196	407692
122	10283	407754
123	10355	407211
124	10449	407514
125	10519	406937
126	10608	407042
127	10664	405903
128	10731	405210
129	10782	403925
130	10881	404456
131	11015	406254
132	11163	408501
133	11245	408371
134	11339	408628
135	11388	407301
136	11454	406605
137	11503	405285
138	11571	404681
139	11679	405460
140	11856	408603
141	12262	419510
142	12369	420123
143	12475	420694
144	12635	423062
145	12832	426637
146	13299	439077
147	13386	438866
148	13844	450731
149	14040	453970
150	14150	454423
151	14215	453408
152	14299	453016
153	14470	455341
154	14554	454950
155	14610	453666
156	14683	452950
157	14734	451546
158	14826	451416
159	14901	450777
160	15067	452860
161	15164	452873
162	15275	453288
163	15354	452771
164	15446	452619
165	15500	451392
166	15953	461699
167	16249	467354
168	16341	467124
169	16423	466612
170	16691	471353
171	17050	478609
172	17493	488092
173	18131	502899
174	18360	506233
175	18449	505677
176	18534	505048
177	18586	503516
178	18657	502488
179	18707	500934
180	18775	499882
181	18841	498776
182	19075	502111
183	19371	507023
184	19611	510431
185	19781	511982
186	20017	515217
187	20118	514948
188	20188	513886
189	20244	512496
190	20326	511788
191	20392	510655
192	20486	510260
193	20602	510393
194	20741	511100
195	20829	510536
196	21004	512114
197	21069	510985
198	21151	510290
199	21213	509124
200	21282	508126
201	21338	506841
202	21404	505793
203	21452	504345
204	21517	503299
205	21581	502247
206	21652	501347
207	21709	500142
208	21805	499850
209	21880	499089
210	22076	501061
211	22218	501798
212	22436	504245
213	22536	504025
214	22651	504129
215	22749	503849
216	23210	511587
217	23857	523331
218	24077	525647
219	24491	532133
220	24712	534399
221	24896	535838
222	25202	539874
223	25332	540129
224	25412	539313
225	25513	538937
226	25600	538286
227	25654	536953
228	25717	535799
229	25770	534453
230	25841	533492
231	26013	534614
232	26197	535973
233	26266	534987
234	26345	534187
235	26396	532861
236	26463	531835
237	26514	530509
238	26578	529462
239	26630	528167
240	26695	527149
241	26752	525977
242	26846	525546
243	26965	525612
244	27131	526574
245	27214	525928
246	27301	525361
247	27353	524125
248	27418	523152
249	27468	521898
250	27530	520888
251	27580	519654
252	27623	518301
253	27703	517633
254	28017	521351
255	28190	522409
256	28318	522617
257	28370	521436
258	28431	520441
259	28482	519260
260	28548	518361
261	28603	517260
262	28678	516535
263	28732	515436
264	28801	514621
265	28855	513540
266	28920	512663
267	28969	511513
268	29037	510693
269	29086	509546
270	29147	508621
271	29195	507486
272	29257	506591
273	29307	505507
274	29370	504630
275	29420	503563
276	29484	502720
277	29532	501634
278	29595	500783
279	29662	500021
280	29725	499204
281	29775	498161
282	29839	497366
283	29887	496299
284	29948	495461
285	29997	494439
286	30058	493616
287	30107	492586
288	30168	491781
289	30224	490888
290	30288	490134
291	30336	489123
292	30397	488332
293	30448	487378
294	30510	486610
295	30562	485688
296	30622	484909
297	30671	483956
298	30732	483191
299	30780	482227
300	30841	481468
301	30891	480562
302	30955	479860
303	31001	478889
304	31065	478210
305	31113	477277
306	31173	476537
307	31220	475604
308	31285	474947
309	31331	474021
310	31392	473302
311	31439	472405
312	31502	471725
313	31565	471076
314	31633	470486
315	31682	469621
316	31748	469009
317	31866	469174
318	32020	469868
319	32078	469140
